ID,Time,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
12,159174,3,17,,,,,,
192,159187,0,0,0,0,0,1,0,0
192,159189,0,0,0,0,0,1,0,0
192,159199,0,0,0,0,1,0,0,0
11,159200,7,28,,,,,,
192,159219,0,0,0,0,0,1,0,0
192,159249,0,0,0,0,0,1,0,0
11,159250,7,26,,,,,,
12,159250,3,17,,,,,,
15,159250,1,,,,,,,
192,159279,0,0,0,0,0,1,0,0
11,159299,7,27,,,,,,
192,159309,0,0,0,0,0,1,0,0
12,159324,3,17,,,,,,
192,159339,0,0,0,0,0,1,0,0
11,159349,7,29,,,,,,
15,159349,1,,,,,,,
192,159369,0,0,0,0,0,1,0,0
11,159399,7,27,,,,,,
12,159399,3,18,,,,,,
192,159400,0,0,0,0,0,1,0,0
192,159429,0,0,0,0,0,1,0,0
11,159449,7,27,,,,,,
15,159449,1,,,,,,,
192,159459,0,0,0,0,0,1,0,0
12,159474,3,17,,,,,,
192,159489,0,0,0,0,0,1,0,0
11,159499,7,26,,,,,,
192,159519,0,0,0,0,0,1,0,0
192,159549,0,0,0,0,0,1,0,0
11,159550,7,28,,,,,,
12,159550,3,17,,,,,,
15,159550,1,,,,,,,
192,159579,0,0,0,0,0,1,0,0
11,159599,7,25,,,,,,
192,159609,0,0,0,0,0,1,0,0
12,159624,3,18,,,,,,
192,159639,0,0,0,0,0,1,0,0
11,159649,7,26,,,,,,
15,159649,1,,,,,,,
192,159669,0,0,0,0,0,1,0,0
12,159699,3,17,,,,,,
11,159699,7,25,,,,,,
192,159700,0,0,0,0,0,1,0,0
192,159729,0,0,0,0,0,1,0,0
11,159749,7,26,,,,,,
15,159749,1,,,,,,,
192,159759,0,0,0,0,0,1,0,0
12,159774,3,17,,,,,,
192,159789,0,0,0,0,0,1,0,0
11,159799,7,26,,,,,,
192,159819,0,0,0,0,0,1,0,0
192,159849,0,0,0,0,0,1,0,0
11,159850,7,24,,,,,,
12,159850,3,18,,,,,,
15,159850,1,,,,,,,
192,159879,0,0,0,0,0,1,0,0
11,159899,7,27,,,,,,
192,159909,0,0,0,0,0,1,0,0
12,159924,3,18,,,,,,
192,159939,0,0,0,0,0,1,0,0
11,159949,7,24,,,,,,
15,159949,1,,,,,,,
192,159969,0,0,0,0,0,1,0,0
12,159999,3,17,,,,,,
11,159999,7,26,,,,,,
192,160000,0,0,0,0,0,1,0,0
192,160029,0,0,0,0,0,1,0,0
15,160049,1,,,,,,,
11,160049,7,25,,,,,,
192,160059,0,0,0,0,0,1,0,0
12,160074,3,17,,,,,,
192,160089,0,0,0,0,0,1,0,0
11,160099,7,21,,,,,,
192,160119,0,0,0,0,0,1,0,0
11,160149,7,22,,,,,,
12,160149,3,18,,,,,,
15,160150,1,,,,,,,
192,160150,0,0,0,0,0,1,0,0
192,160179,0,0,0,0,0,1,0,0
11,160199,7,25,,,,,,
192,160209,0,0,0,0,0,1,0,0
12,160224,3,18,,,,,,
192,160239,0,0,0,0,0,1,0,0
11,160249,7,24,,,,,,
15,160249,1,,,,,,,
192,160269,0,0,0,0,0,1,0,0
192,160299,0,0,0,0,0,1,0,0
11,160300,7,8,,,,,,
12,160300,3,17,,,,,,
192,160329,0,0,0,0,0,1,0,0
15,160349,1,,,,,,,
11,160349,6,98,,,,,,
192,160359,0,0,0,0,0,1,0,0
12,160374,3,18,,,,,,
192,160389,0,0,0,0,0,1,0,0
11,160399,6,17,,,,,,
192,160419,0,0,0,0,0,1,0,0
11,160449,1,57,,,,,,
12,160449,3,17,,,,,,
15,160450,1,,,,,,,
192,160450,0,0,0,0,0,1,0,0
192,160479,0,0,0,0,0,1,0,0
192,160499,0,0,0,0,0,0,0,0
11,160500,0,0,,,,,,
192,160509,0,0,0,0,0,1,0,0
12,160524,3,17,,,,,,
192,160539,0,0,0,0,0,1,0,0
192,160549,0,0,0,0,1,0,0,0
11,160550,1,34,,,,,,
15,160550,1,,,,,,,
192,160569,0,0,0,0,0,1,0,0
192,160599,0,0,0,0,0,1,0,0
11,160600,0,22,,,,,,
12,160600,3,17,,,,,,
192,160600,0,0,0,0,0,0,0,0
192,160629,0,0,0,0,0,1,0,0
11,160649,0,37,,,,,,
15,160649,1,,,,,,,
192,160659,0,0,0,0,0,1,0,0
12,160674,3,17,,,,,,
192,160689,0,0,0,0,0,1,0,0
11,160699,0,35,,,,,,
192,160719,0,0,0,0,0,1,0,0
192,160749,0,0,0,0,0,1,0,0
11,160750,0,35,,,,,,
12,160750,3,17,,,,,,
15,160750,1,,,,,,,
192,160779,0,0,0,0,0,1,0,0
11,160799,0,38,,,,,,
192,160809,0,0,0,0,0,1,0,0
12,160824,3,17,,,,,,
192,160839,0,0,0,0,0,1,0,0
15,160849,1,,,,,,,
11,160849,0,36,,,,,,
192,160869,0,0,0,0,0,1,0,0
11,160899,0,36,,,,,,
12,160899,3,18,,,,,,
192,160900,0,0,0,0,0,1,0,0
192,160929,0,0,0,0,0,1,0,0
11,160949,0,39,,,,,,
15,160949,1,,,,,,,
192,160959,0,0,0,0,0,1,0,0
12,160974,3,18,,,,,,
192,160989,0,0,0,0,0,1,0,0
11,160999,0,37,,,,,,
192,161019,0,0,0,0,0,1,0,0
192,161049,0,0,0,0,0,1,0,0
11,161050,0,96,,,,,,
12,161050,3,18,,,,,,
15,161050,1,,,,,,,
192,161051,0,0,0,0,1,0,0,0
192,161079,0,0,0,0,0,1,0,0
11,161099,1,52,,,,,,
192,161109,0,0,0,0,0,1,0,0
12,161124,3,18,,,,,,
192,161139,0,0,0,0,0,1,0,0
11,161149,2,9,,,,,,
15,161149,1,,,,,,,
192,161169,0,0,0,0,0,1,0,0
11,161199,2,68,,,,,,
12,161199,3,18,,,,,,
192,161200,0,0,0,0,0,1,0,0
192,161229,0,0,0,0,0,1,0,0
11,161249,3,97,,,,,,
15,161249,1,,,,,,,
192,161259,0,0,0,0,0,1,0,0
12,161274,3,18,,,,,,
192,161289,0,0,0,0,0,1,0,0
11,161299,5,97,,,,,,
192,161319,0,0,0,0,0,1,0,0
192,161349,0,0,0,0,0,1,0,0
11,161350,10,12,,,,,,
12,161350,3,17,,,,,,
15,161350,1,,,,,,,
192,161379,0,0,0,0,0,1,0,0
11,161399,10,14,,,,,,
192,161409,0,0,0,0,0,1,0,0
12,161424,3,18,,,,,,
192,161439,0,0,0,0,0,1,0,0
11,161449,10,13,,,,,,
15,161449,1,,,,,,,
192,161469,0,0,0,0,0,1,0,0
11,161499,10,13,,,,,,
12,161499,3,18,,,,,,
192,161500,0,0,0,0,0,1,0,0
192,161529,0,0,0,0,0,1,0,0
11,161549,10,14,,,,,,
15,161549,1,,,,,,,
192,161559,0,0,0,0,0,1,0,0
12,161574,3,18,,,,,,
192,161589,0,0,0,0,0,1,0,0
11,161599,10,13,,,,,,
192,161619,0,0,0,0,0,1,0,0
192,161649,0,0,0,0,0,1,0,0
11,161650,10,13,,,,,,
12,161650,3,18,,,,,,
15,161650,1,,,,,,,
192,161679,0,0,0,0,0,1,0,0
11,161699,10,13,,,,,,
192,161709,0,0,0,0,0,1,0,0
12,161724,3,18,,,,,,
192,161739,0,0,0,0,0,1,0,0
11,161749,10,14,,,,,,
15,161749,1,,,,,,,
192,161769,0,0,0,0,0,1,0,0
12,161799,3,17,,,,,,
11,161799,10,14,,,,,,
192,161800,0,0,0,0,0,1,0,0
192,161829,0,0,0,0,0,1,0,0
15,161849,1,,,,,,,
11,161849,10,13,,,,,,
192,161859,0,0,0,0,0,1,0,0
12,161874,3,18,,,,,,
192,161889,0,0,0,0,0,1,0,0
11,161899,2,63,,,,,,
192,161919,0,0,0,0,0,1,0,0
192,161949,0,0,0,0,0,0,0,0
11,161950,0,0,,,,,,
12,161950,3,18,,,,,,
15,161950,1,,,,,,,
192,161951,0,0,0,0,0,1,0,0
192,161979,0,0,0,0,0,1,0,0
192,161999,0,0,0,0,1,0,0,0
11,162000,2,26,,,,,,
192,162009,0,0,0,0,0,1,0,0
12,162024,3,17,,,,,,
192,162039,0,0,0,0,0,1,0,0
11,162049,0,44,,,,,,
15,162049,1,,,,,,,
192,162069,0,0,0,0,0,1,0,0
192,162099,0,0,0,0,0,1,0,0
11,162100,0,48,,,,,,
12,162100,3,17,,,,,,
192,162129,0,0,0,0,0,1,0,0
11,162149,0,50,,,,,,
15,162149,1,,,,,,,
192,162159,0,0,0,0,0,1,0,0
12,162174,3,18,,,,,,
192,162189,0,0,0,0,0,1,0,0
11,162199,0,49,,,,,,
